Kanji,Pronunciation,Definition,JLPT Level
母,"bo","mother",N5
聞,"bun","hear, ask, listen",N5
長,"chou","long, leader, superior, senior",N5
中,"chuu","in, inside, middle, center",N5
円,"en","circle, yen, round",N5
大,"dai","large, big",N5
男,"dan","male",N5
電,"den","electricity",N5
土,"do","soil, earth, ground, Turkey",N5
読,"doku","read",N5
父,"fu","father",N5
外,"gai","outside",N5
学,"gaku","study, learning, science",N5
月,"getsu","month, moon",N5
後,"go","behind, back, later",N5
五,"go","five",N5
午,"go","noon, sign of the horse",N5
語,"go","word, speech, language",N5
八,"hachi","eight, eight radical",N5
白,"haku","white",N5
半,"han","half, middle, odd number, semi-, part-",N5
北,"hoku","north",N5
百,"hyaku","hundred",N5
本,"hon","book, present, main, origin, true, real",N5
時,"ji","time, hour",N5
人,"jin","person",N5
女,"jo","woman, female",N5
上,"jou","above, up",N5
十,"juu","ten",N5
火,"ka","fire",N5
下,"ka","below, down, descend, give, low, inferior",N5
何,"ka","what",N5
間,"kan","interval, space",N5
見,"ken","see, hopes, chances, idea, opinion, look at, visible",N5
気,"ki","spirit, mind, air, atmosphere, mood",N5
金,"kin","gold",N5
古,"ko","old",N5
校,"kou","exam, school, printing, proof, correction",N5
国,"koku","country",N5
今,"kon","now",N5
高,"kou","tall, high, expensive",N5
行,"kou","going, journey, carry out, conduct, act, line, row, bank",N5
休,"kyuu","rest, day off, retire, sleep",N5
九,"kyuu","nine",N5
毎,"mai","every",N5
万,"man","ten thousand",N5
名,"mei","name, noted, distinguished, reputation",N5
南,"nan","south",N5
年,"nen","year, counter for years",N5
二,"ni","two, two radical",N5
日,"nichi","day, sun, Japan, counter for days",N5
入,"nyuu","enter, insert",N5
来,"rai","come, due, next, cause, become",N5
六,"roku","six",N5
左,"sa","left",N5
三,"san","three",N5
山,"san","mountain",N5
書,"sho","write",N5
生,"sei","life, genuine, birth",N5
西,"sei","west, Spain",N5
先,"sen","before, ahead, previous, future, precedence",N5
川,"sen","stream, river",N5
千,"sen","thousand",N5
車,"sha","car",N5
四,"shi","four",N5
子,"shi","child, sign of the rat",N5
七,"shichi","seven",N5
食,"shoku","eat, food",N5
小,"shou","little, small",N5
出,"shutsu","exit, leave, go out, come out, put out",N5
水,"sui","water",N5
天,"ten","heavens, sky, imperial",N5
東,"tou","east",N5
雨,"u","rain",N5
話,"wa","tale, talk",N5
友,"yuu","friend",N5
右,"yuu","right",N5
前,"zen","in front, before",N5
悪,"aku","bad, evil",N4
安,"an","relax, cheap",N4
場,"ba","location, place",N4
売,"bai","sell",N4
買,"bai","buy",N4
勉,"ben","strive, make effort",N4
別,"betsu","separate",N4
文,"bun","sentence, literature",N4
物,"butsu","thing, object",N4
病,"byou","ill, sick",N4
茶,"cha","tea",N4
着,"chaku","arrive, wear",N4
地,"chi","ground, earth",N4
知,"chi","know, wisdom",N4
朝,"chou","morning, dynasty",N4
町,"chou","town, village",N4
鳥,"chou","bird, chicken",N4
注,"chuu","pour, concentrate on",N4
昼,"chuu","daytime, noon",N4
代,"dai","substitute, change",N4
題,"dai","topic, subject",N4
台,"dai","pedestal, a stand",N4
田,"den","rice field",N4
度,"do","degrees",N4
同,"dou","same, equal",N4
動,"dou","move, motion",N4
道,"dou","road-way, course",N4
堂,"dou","public chamber, hall",N4
映,"ei","reflection",N4
英,"ei","England, hero",N4
駅,"eki","station",N4
不,"fu","negative, non-",N4
服,"fuku","clothing, obey",N4
風,"fuu","wind, style",N4
言,"gen","say, word",N4
元,"gen","beginning, origin",N4
銀,"gin","silver",N4
魚,"gyo","fish",N4
業,"gyou","business",N4
牛,"gyuu","cow",N4
飯,"han","meal, boiled rice",N4
発,"hatsu","departure, discharge",N4
品,"hin","goods, article",N4
歩,"ho","walk",N4
方,"hou","direction",N4
意,"i","idea, mind",N4
以,"i","by means of",N4
医,"i","doctor, medicine",N4
員,"in","employee, member",N4
院,"in","institution",N4
飲,"in","drink",N4
事,"ji","matter, thing",N4
自,"ji","oneself",N4
持,"ji","hold, have",N4
字,"ji","character, letter",N4
重,"juu","heavy, important",N4
住,"juu","dwell, reside",N4
家,"ka","home, family",N4
歌,"ka","song, sing",N4
